look	l--- 見える、見る
Olympic	オリンピックの
peaceful	穏やかな、平和な
powerful	協力を
public	公共の、公の
quiet	静かな
round	丸い
scared	おびえた、怖がった
shy	恥ずかしがりの、内気な
smart	利口な
thick	厚い
traditional	伝統的な
upset	動揺した
wide	（幅が）広い
cheaply	安く
easily	簡単に、容易に
safely	安全に、無事に
sincarely	敬具
softly	優しく、柔らかに、穏やかに
straight	まっすぐに
upstairs	上の階へ[で]
above	〜の上に[の]
against	〜に対抗して、〜に反対して
among	～の中で[に]、～の間で[に]
count	数える
kick	ける
set	用意する、整える
spread	広げる、広げる
surf	サーフィンをする
raise	上げる、育てる
add	加える
appear	現れる
attack	攻撃する
control	操作する、支配する、管理する
deliver	配達する
expect	待ち受ける、予期する
express	表現する
fight	戦う、けんかする
fit	ぴったり合う
hang	掛ける
jog	ジョギングする
knock	ノックする
mix	混ぜる、混ざる
oversleep	寝過ごす
record	録画[録音]する、記録する
repeat	繰り返して言う
seem	のように見える、のように思われる
shake	振る、揺れる
shock	ショック[衝撃]を与える
shout	どなる、叫ぶ
spell	つづる
waste	無駄に使う
wonder	・・・かなと思う
ballet	バレエ
bit	少し
carnival	カーニバル、お祭り騒ぎ
carpenter	大工
cracker	クラッカー
drawing	線画、スケッチ、図面
engine	エンジン
exit	出口
fan	ファン
flour	小麦粉
gentleman	紳士、男の方
ghost	幽霊
guest	客
guy	みんな、やつ、男
habit	習慣
handle	取っ手、柄
heart	心、心臓
hockey	ホッケー
joke	冗談
kilometer	キロメートル
knee	ひざ
lady	ご婦人、淑女、女の方
leader	指導者、リーダー
mall	ショッピングセンター[モール]、商店街
marathon	マラソン
meaning	意味
mouse	ネズミ
parking	駐車、駐車できる場所
photographer	写真家
purpose	目的
radish	ハツカダイコン
reporter	記者、通信費
ring	指輪、輪
sailor	船員
salesclerk	店員、販売員
service	サービス、接客、公共事業、業務
shell	貝がら
snake	ヘビ
spot	場所、地点
subway	地下鉄
sunglasses	サングラス
surprise	驚き、驚くべきこと
teammate	チームメイト
television	テレビ
toilet	トイレ
track	線路、〜番線
turtle	海ガメ
whale	クジラ
wind	風
yard	庭
army	軍隊、陸軍
decoration	飾り、装飾
pollution	汚染、公害
amazing	驚くべき
British	イギリスの、イギリス人の
correct	正しい
dry	乾いた
front	正面の、前の
lovely	美しい、かわいらしい
northern	北の、北部の
real	本当の、現実の
solar	太陽の
strange	奇妙な、見知らぬ
weak	弱い
native	その土地固有の、生まれた土地の
slowly	ゆっくりと、遅く
badly	悪く、ひどく
online	オンラインで、インターネットで
along	～に沿って
everybody	みんな、誰でも
ourselves	私たち自身（を[に]）
act	演じる、行動する
cause	引き起こす、原因となる
destroy	を破壊する
disappear	姿を消す、見えなくなる、消える
discover	を発見する
escape	逃げる
exercise	運動する
fail	(試験に)落ちる、失敗する
feed	にえさ［食べ物］を与える
hide	隠れる、を隠す
lay	(卵)を産む、を横たえる
lead	を率いる、を導く
offer	を申し出る、を差し出す
produce	を生産する
realize	を気付く
shine	輝く
smoke	タバコを吸う
slove	を解決する、を解く
survive	(を)生き残る
adventure	冒険
age	年齢
arm	腕
athlete	運動選手
bottom	底、下部
castle	城
ceiling	天井
closet	クローゼット、押し入れ
corner	角
course	講座、コース、進路
custom	習慣
department store	デパート、百貨店
dicector	(映画などの)監督、指導者
discount	割引き
doghouse	犬小屋
drugstore	ドラッグストア、薬局
ear	耳
examination	試験
factory	工場
fair	見本市、品評会
fire	火事、火
furniture	家具
god	神
government	政府
grass	草、芝生
hallway	(屋内の)通路、廊下、玄関
host	受け入れ側、(客をもてなす)主人
hurricane	ハリケーン
instrument	楽器、(精密な)器機
land	陸、土地
list	リスト、表
medicine	薬
neighbor	近所の人
noise	物音、騒音
option	意見
safety	安全
science fiction	SF、空想科学小説
scissors	はさみ
