go	行く,進む;去る
arrive at [in]	～に着く
have a cold	風邪をひいている
speak to	～に話しかける,～と話す
enjoy doing	～するのを楽しむ,楽しんで～する
get to ~	～に着く,～に到着する
listen to ~	～を聞く,～に耳を傾ける
look like ~	～に似ている;～のように見える
stop doing	～することをやめる
take a picture	写真をとる
come back (to ~)	～から帰ってくる,～に戻る
start doing [to do]	～し始める
stay with	（人）の所に泊まる,滞在する
take a bath	入浴する
walk to	～まで歩いて行く
become friends	友だちになる
finish doing	～し終える
hurry up	急ぐ
leave A for B	AをBのために残しておく
say goodbye to ~	～にさよならをと言う
say hello to ~	～によろしくと言う
take a shower	シャワーを浴びる
take a walk	散歩をする
give up (~)	（～を）あきらめる,やめる
go around [round] ~	～のまわりを回る
go back to ~	～へ帰る,～に戻る
have a good time	楽しい時を過ごす
move to A (from B)	(Bから)Aに引っ越す
play catch	キャッチボールをする
slow down (~)	～を遅くする;速度を落とす
worry about ~	～のことを心配する
write to ~	～に手紙を書く
ask ~ for help	～に助けを頼む
catch a cold	風邪をひく
get into	～の中に入る,～に乗り込む
get off	～から降りる
get on	～に乗る
go for a drive	ドライブに行く
have a good idea	よい考えがある
hear about ~	～について聞く
look around (~)	～を探し回る;周囲を見回す
make friends with ~	～と親しくなる,友だちになる
take a plane	飛行機に乗る
write back	返事を書く
be late for ~	～に遅れる,遅刻する
a lot of ~	たくさんの
be good at ~	～が上手だ,得意だ
a glass of ~	（コップ）１杯の～
be ready for ~	～の用意ができている
be sick in bed	病気で寝ている
be glad to do	～して嬉しい,喜んで～する
be happy to do	～して嬉しい,喜んで～する
be kind to ~	～に親切だ
in the future	将来
all day (long)	一日中
as ～ as...	...と同じくらい～
for a long time	長い間
for example	たとえば
from A to B	AからBへ,AからBまで
at once	ただちに,すぐに,同時に
right now	今すぐに,現在,たった今
again and again	何度も何度も,繰り返して
all over ~	～中で[に];～の一面に
at first	最初は,最初のうちは
both A and B	AもBも両方とも
in front of ~	～の前に[で]
in those days	当時は,あの頃は
more and more	ますます,だんだん,ますます多くの
once again	もう一度
(on) the [one's] first day	第一日目に,初日に
all (the) year round	１年中,１年を通して
at last	ついに,とうとう,最後に
at the same time	同時に
at work	仕事で,職場で
by the way	ところで
first of all	まず第一に,まず何よりも
for a moment	少しの間,ほんの少し
one day	(過去の)ある日,(未来の)いつか
out of ~	～から外へ
some day	(未来の)いつか,そのうちに
the other day	先日,この間
