vegetable	（通例 ～s）野菜
victory	勝利〈over，against ～に対する〉
view	眺め，見方，（しばしば ～s）意見
activity	活動
adult	大人（⇔ child）
advertisement	広告，宣伝（＝ ad, advert）
amount	量，（the ～）合計
anniversary	（毎年巡ってくる）記念日
attention	注意，注目
avenue	大通り（＝ Ave.）
average	平均
boss	上司，ボス
cloth	布
corner	角（かど），隅
costume	衣装
countryside	（通例 the ～）田舎，田園地帯
custom	（社会的な）慣習，（個人の）習慣
customer	（商店などの）顧客
degree	（温度・角度などの）度（＝ deg.），程度
dentist	歯科医
disaster	災害，不幸
drugstore	ドラッグストア
earthquake	地震
effort	努力
entertainment	娯楽，催し物，もてなし
environment	環境
favor	親切な行為，好意
fee	（～s）授業料，料金，謝礼
graduation	卒業，卒業式
grandparent	祖父，祖母
homestay	ホームステイ
industry	産業，工業（⇔ agriculture）
luck	幸運，運
material	材料，生地，資料
mayor	市長
middle	（通例 the ～）真ん中
miniature	ミニチュア，小型の模型，縮小したもの
moment	瞬間，時点
network	網状組織，ネットワーク
organization	組織，団体
plenty	（plenty of で）たくさんの，豊富さ
pollution	汚染
president	（しばしば P-）大統領，（ときに P-）社長
project	計画，事業，プロジェクト
quality	質（⇔ quantity）
rest	休み，休憩
rule	規則，支配
space	宇宙，余地
tourist	観光客，旅行者
transportation	交通［輸送］機関，輸送
other	【形】他の，（the ～）（2つのうちの）もう一方の
another	【形】別の，もう1つ［1人］の
different	【形】違った〈from ～と〉，いろいろな
expensive	【形】高価な（⇔ cheap）
enough	【形】十分な〈for ～に，to do ～するのに〉
difficult	【形】困難な（⇔ easy）
close	【形】接近した〈to ～に〉，親密な
local	【形】地元の（⇔ national），局所の
own	【形】（one's own で）自分自身の
blind	【形】目の見えない
national	【形】全国的な（⇔ local），国民の，国立の
following	【形】（the ～）（その）次の，以下の
international	【形】国際的な
special	【形】特別な（⇔ general, normal）
concrete	【形】具体的な，コンクリート製の
dangerous	【形】危険な（⇔ safe）
true	【形】本当の（⇔ false）
natural	【形】自然の，当然の，生まれつきの
noisy	【形】騒々しい（⇔ quiet）
safe	【形】安全な（⇔ dangerous），無事で
several	【形】数人の，いくつかの
unusual	【形】異常な，普通でない（⇔ usual）
common	【形】共通の，普通の
friendly	【形】友好的な，人なつっこい（⇔ unfriendly）
possible	【形】可能な（⇔ impossible），あり得る
bright	【形】明るい（⇔ dark），利口な
comfortable	【形】快適な（⇔ uncomfortable）
delicious	【形】おいしい
likely	【形】（A is likely to do で）Ａは～しそうである，ありそうな（⇔ unlikely）
past	【形】過去の（⇔ present 現在の，future 未来の）
wild	【形】野生の，荒れ果てた，乱暴な
careful	【形】注意深い（⇔ careless）
cheap	【形】安い（⇔ expensive）
empty	【形】空（から）の（⇔ full）
extra	【形】追加の，余分の
familiar	【形】精通して〈with ～に〉，よく知られた〈to ～に〉（⇔ strange）
lonely	【形】寂しい
loud	【形】大声の（⇔ low），派手な
main	【形】主な（≒ chief）
nearby	【形】近くの
necessary	【形】必要な
official	【形】公式の，正式の，職務上の（⇔ unofficial）
ordinary	【形】普通の，並の
private	【形】個人的な（≒ personal），私有の，私立の（⇔ public）
quiet	【形】静かな（⇔ noisy）
similar	【形】類似した〈to ～に〉
afraid	【形】（...ではないかと）心配して，怖がって
ancient	【形】古代の，古来の
certain	【形】（はっきりと言わずに）ある，確信して〈of, about ～を〉
final	【形】最後の
honest	【形】正直な（⇔ dishonest）
nervous	【形】非常に緊張している，神経質な，心配して
normal	【形】普通の，標準の（⇔ special）
portable	【形】携帯できる
public	【形】公共の，公立の（⇔ private）
recent	【形】最近の
successful	【形】成功した〈in ～に〉
arctic	【形】北極の（⇔ antarctic）
asleep	【形】眠って（⇔ awake）
boring	【形】退屈な（⇔ interesting）
calm	【形】落ち着いた
clear	【形】はっきりした，晴れた（⇔ cloudy），澄んだ
convenient	【形】便利な
correct	【形】正しい（⇔ incorrect, false），適切な
cute	【形】かわいい
however	【副】しかしながら，どんなに～でも
even	【副】～でさえ，（比較級を強調して）さらに（≒ still, yet）
later	【副】後で（≒ afterward），もっと遅く
instead	【副】その代わりに
quickly	【副】すぐに，急いで
yet	【副】（疑問文で）もう，（否定文で）まだ（～ない）
actually	【副】実際に（≒ in fact），本当のところは
recently	【副】最近，近ごろ（≒ lately）
though	【副】でも，やっぱり
far	【副】（距離が）遠くに（⇔ near），（時間が）はるかに
outside	【副】外に［で］（⇔ inside）
almost	【副】もう少しで（～するところだ），ほとんど（≒ nearly）
else	【副】その他に，代わりに
probably	【副】たぶん
finally	【副】ついに（≒ at last），最後に
luckily	【副】運良く
nearly	【副】ほとんど（≒ almost）
sometime	【副】（未来の）いつか，（過去の）ある時，かつて
inside	【副】屋内に［で］，内側に［で］（⇔ outside）
once	【副】一度，かつて
pretty	【副】なかなか，結構，わりに
afterward	【副】後で（英 afterwards）（≒ later）
anymore	【副】（否定文で）これ以上（～ない）
easily	【副】気楽に，たやすく，簡単に
moreover	【副】その上
quite	【副】とても，かなり，全く
regularly	【副】定期的に，規則正しく
twice	【副】2回，2度
ahead	【副】（位置的に）前方に［へ］（≒ in front），（時間的に）前もって（≒ in advance）
completely	【副】完全に
gradually	【副】徐々に（≒ little by little）
while	【接】...している間に，...ではあるが（≒ although）
although	【接】...だけれども（≒ though）
through	【前】～を通って，～を通じて，～中ずっと
against	【前】～に反対して（⇔ for），～を対戦相手として
below	【前】～より下に（⇔ above）
behind	【前】～の後ろに（⇔ in front of ～）
throughout	【前】（時について）～の間ずっと，（場所について）～の至るところに
unlike	【前】～と異なって，～らしくない
within	【前】～以内で［に］
accept	を受け入れる（⇔ reject），を受け取る
aim	狙う，目指す〈at ～を〉
collect	を集める（≒ gather）
control	を管理する，を支配する，を制御する
deliver	（を）配達する
develop	を開発する，を発達させる
disappear	姿を消す（⇔ appear），消息を絶つ
disappoint	（受身形で）失望する〈with ～に〉，を失望させる
dislike	を嫌う〈doing ～すること〉
explain	（を）説明する〈to ～に〉
fight	戦う〈against, with ～と〉
film	（を）撮影する，を映画化する
gather	集まる，を集める（≒ collect）
hang	をつるす，をかける
hide	隠れる，を隠す
hit	を打つ，にぶつかる
imagine	（を）想像する
invent	を発明する
limit	を制限する〈to ～に〉
melt	溶ける，を溶かす
notice	（に）気づく
organize	を主催する，を組織する
paint	にペンキを塗る，の絵を描く
promise	（を）約束する〈to do ～すること〉
publish	を出版する
quit	（を）やめる〈doing ～すること〉
recognize	（～を見て［聞いて］）それと分かる，を認識する，を認める
rely	頼る，依存する〈on，upon ～に〉
rescue	を救助する
sail	航海する
shape	を形作る，を形成する
stress	（受身形で）ストレスがたまっている
support	を支持する（≒ back up），を支える
surf	（ホームページなどを）見て回る，サーフィンをする
surprise	（受身形で）驚く〈at, by ～に，to do ～して〉，を驚かせる
surround	を囲む
warn	に警告する〈of ～を〉
weigh	の重さがある，の重さを量る
whisper	（を）ささやく〈to ～に〉
access	にアクセスする，に近づく
achieve	を達成する，を成し遂げる
attack	（を）攻撃する（⇔ defend）
attend	（に）出席する，の世話をする
balance	（の）バランスを取る
block	を邪魔する，をふさぐ
blow	（blow up で）をふくらませる，（風が）吹く
compare	を比較する〈with ～と〉
date	（と）デートする
decorate	を飾る〈with ～で〉
decrease	減少する，を減少させる（⇔ increase）
destroy	を破壊する（⇔ construct）
dig	を掘る
discover	を発見する（≒ find out）
discuss	について議論する
draw	を描く，を引く
earn	（金銭など）を稼ぐ，（名声など）を得る
exhibit	を展示する
fill	を満たす〈with ～で〉
flow	流れる
forgive	（人・罪など）を許す
freeze	凍る，を凍らせる
hire	を雇う（⇔ fire）
hunt	探し求める〈for ～を〉，を狩る，狩りをする
