follow	に従う
dissolve	溶解する
implement	～を実行する
steer	を操縦する
congratulate	を祝福する
designate	～を指定する
violate	を破る
presume	～と推定する
recruit	（新人など）を入れる
coincide	同時に起きる
enforce	を施行する
displace	～にとって代わる
shrink	縮む
betray	～を裏切る
comprise	構成される
indulge	ふける
penetrate	入り込む
devastate	～を壊滅させる
plunge	突っ込む
thrust	～を強く押す
contradict	～と矛盾する
prescribe	を処方する
oppress	～をしいたげる
cherish	～を大切にする
illuminate	～を照らす
trigger	～のきっかけになる
commute	通勤する
induce	～を誘う
utilize	～を利用する
snap	ポキンと折れる
donate	～を提供する
hatch	（卵・ヒナ）をかえす
enclose	～を囲む
prevail	普及している
sigh	ため息をつく
leak	漏れる
compel	強制する
crush	～を押しつぶす
comprehend	～を理解する
negotiate	交渉する
persist	持続する
multiply	～を増やす
conceive	考える
compensate	埋め合わせる
suspend	～を中止する
stir	をかきたてる
soak	～を浸す
refine	～を洗練する
arouse	～を刺激する
precede	～に先行する
render A B	AをBにする
mount	～をすえつける
retreat	退く
startle	～を驚かせる
dare	～する勇気がある
anticipate	を予想する
crawl	はって進む
pray	祈る
dispose	処理する
refrain	慎む
accumulate	～を蓄積する
mend	～を修理する
revise	～を修正する
scratch	～をかく
drag	～を引きずる
roar	ほえる
quote	引用する
bloom	咲く
distort	～を歪曲する
await	～を待つ
dread	～を恐れる
conceal	～を隠す
enrich	～を豊かにする
cling	固執する
surpass	にまさる
suppress	～を抑える
portray	～を描く
soar	急上昇する
drain	～を排出する
glow	ボーッと光る
migrate	移住する
exclaim	叫ぶ
exert	～を及ぼす
fetch	～を取ってくる
accelerate	～を促進する
dwell	住む
integrate	～を融けこませる
weep	泣く
reassure	～を安心させる
condemn	非難する
restrain	～を抑制する
resent	～に腹を立てる
yell	大声で叫ぶ
assess	～を評価する
carve	～を彫る
halt	～を止める
inspect	～を検査する
tackle	～に取り組む
omit	～を省く
frown on	まゆをひそめる
resume	～を再開する
mold	～を作る
accommodate	～を収容できる
erase	～を消す
infer	推量する
revive	～を生き返らせる
humiliate	～に恥をかかせる
rotate	回る
disrupt	～をかき乱す
navigate	進路を決める
ache	痛む
discard	～を捨てる
incorporate	～を取り入れる
overtake	～を追い越す
supplement	～を補う
manipulate	～を操作する
nourish	～を養う
squeeze	～をしぼる
depict	～を描く
distract	～をそらす
disclose	～を暴露する
enroll	入学する
nurture	～を育てる
speculate	推測する
prolong	～を延ばす
execute	～を処刑する
uncover	～を明らかにする
tremble	ふるえる
seize	～をつかむ
abolish	～を廃止する
scold	～をしかる
attain	～を達成する
utter	～を発する
flee	逃げる
offend	～を怒らせる
confess	～と告白する
postpone	～を延期する
drift	ただよう
weave	～を織る
install	～を備えつける
twist	～をねじ曲げる
extract	～を取り出す
bump	ぶつかる
despise	～を軽蔑する
tolerate	～を我慢する
boast	自慢する
flourish	栄える
disregard	～を無視する
tease	～をからかう
reinforce	～を強める
strive	努力する
coordinate	～を協調させる
yawn	あくびをする
hug	抱きしめる
combat	～と戦う
boost	～を活気づける
sphere	領域
sequence	連続
deposit	預金
poll	世論調査
caution	用心
rage	激怒
formula	方法
plot	筋
scope	範囲
norm	規範
disgust	嫌悪
canal	運河
curse	災いのもと
paradox	逆説
tissue	組織
breakdown	崩壊
initiative	主導権
fabric	織物
publicity	宣伝
summit	頂点、頂上
flock	群れ
plague	疫病
haste	急ぐこと
nap	うたた寝
ally	同盟国
draft	下書き
spectacle	光景
premise	前提
asset	財産
lag	遅れ
therapy	療法
reception	もてなし
compound	化合物
blessing	ありがたいもの
sensation	感覚
recession	不景気
pole	棒
outlook	考え方
endeavor	努力
mercy	慈悲
counterpart	相当するもの
session	期間
pill	錠剤
junk	がらくた
fatigue	疲労
fame	名声
mess	めちゃくちゃ
decay	腐敗
dignity	尊厳
compromise	妥協
drought	干ばつ
despair	絶望
interval	間隔
luggage	荷物
blossom	花
impulse	衝動
hatred	憎しみ
beast	野獣
superstition	迷信
illusion	幻想
thread	糸
plow	すき
feast	宴会
transition	移り変わり
misery	悲惨さ
radiation	放射線
log	丸太
consensus	合意
deed	行い
proverb	ことわざ
compliment	ほめ言葉
flame	炎
anniversary	記念日
conscience	良心
expedition	探検
offspring	子孫
allowance	こづかい
headline	大見出し
treaty	条約
monument	記念碑
worm	虫
remedy	治療法
encyclopedia	百科事典
glimpse	ちらりと見ること
personnel	職員
triumph	勝利
arithmetic	算数
self-esteem	自尊心
fog	霧
odds	可能性
chaos	混沌
destiny	運命
diameter	直径
meadow	牧草地
souvenir	みやげ物
trail	小道
ratio	比率
sword	剣
realm	領域
sentiment	感情
chore	雑用
courtesy	礼儀
mayor	市長
reign	統治
trash	ゴミ
prestige	名声
hierarchy	階級制度
wilderness	荒野
orbit	軌道
bias	偏見
republic	共和国
bargain	掘り出し物
contempt	軽蔑
fragment	断片
galaxy	星雲
lap	ひざ
deadline	締め切り
bullet	弾丸
pedestrian	歩行者
wit	機知
nuisance	迷惑
criteria	基準
hardship	苦難
glory	栄光
sin	罪
navy	海軍
script	台本
pension	年金
timber	材木
surplus	余剰
moisture	水分
peasant	小作農
garment	衣服
textile	織物
tuition	授業料
troop	軍隊
primate	霊長類
friction	摩擦
nephew	甥
altitude	高度
diagnosis	診断
commerce	商業
limb	手足
fraction	ほんの一部
irony	皮肉
nightmare	悪夢
defect	欠陥
witch	魔女
scent	香り
erosion	浸食
millionaire	百万長者
skeleton	骨格
grace	優雅さ
landmark	名所
torture	拷問
flesh	肉
collision	衝突
hazard	危険なもの
tomb	墓
brow	まゆ毛
sightseeing	観光
leather	革
jewelry	宝石
cue	合図
ambulance	救急車
estate	所有地
commodity	商品
departure	出発
phase	段階
thief	泥棒
saint	聖人
consent	同意
grief	悲しみ
lane	車線
bulk	大部分
fluid	液
communist	共産主義
bride	花嫁
intervention	介入
margin	差
biography	伝記
sculpture	彫刻
volcano	火山
rebel	反逆者
metaphor	比喩
legislation	法律
lightning	雷
pesticide	殺虫剤
column	コラム
rumor	うわさ
dust	ほこり
dialogue	対話
kindergarten	幼稚園
tourism	観光
obesity	肥満
patent	特許
chapter	章
palace	宮殿
laundry	洗濯
ward	病棟
epidemic	流行、伝染病
equation	方程式
archaeologist	考古学者
corruption	腐敗
be apt to～	～しがちである
humble	謙虚な
be entitled to A	Aを得る権利がある
valid	妥当な
faint	かすかな
stiff	堅い
obscure	わかりにくい
fierce	激しい
acute	深刻な
idle	何もしていない
crude	粗末な
jealous	しっと深い
pregnant	妊娠している
be liable to do	～しがちである
intent	没頭した
decent	まとまな
marvelous	驚くべき
misleading	誤解を招く
tame	飼いならされた
classical	クラッシックの
Muslim	イスラム教の
grave	重大な
fertile	肥えた
hostile	敵意を持つ
indispensable	不可欠だ
alert	用心する
trivial	ささいな
oriented	～志向の
splendid	すばらしい
competent	有能な
supreme	最高の
sheer	まったくの
sacred	神聖な
bold	大胆な
uneasy	不安な
neat	きちんとした
shallow	浅い
loyal	忠実な
superficial	表面的な
absurd	ばかげた
fragile	壊れやすい
respectable	ちゃんとした
magnificent	すばらしい
infinite	無限の
comprehensive	包括的な
steep	険しい
gross	総計の
subsequent	次に起こる
sincere	誠実な
timid	臆病な
neutral	中立の
diligent	勤勉な
sore	痛い
contaminated	汚染された
ambiguous	あいまいな
oral	口述の
restless	落ち着かない
savage	野蛮な
vigorous	精力的な
immense	莫大な
metropolitan	大都市（の）
punctual	時間をきっちり守る
solitary	孤独な
collective	集合的な
diplomatic	外交的な
brutal	残忍な
helpless	無力な
arrogant	ごう慢な
bankrupt	破産した
eternal	永遠の
sole	唯一の
