602. extend	(...を)延長する
603. broaden	(...を)広げる
604. spread	(...を)広げる
605. tie	（荷物などを)縛る
606. bind	(...を)結びつける
607. fasten	(...を)固定する
608. fix	(...を)固定する
609. install	（機械などを)設置する
610. resist	(...を)我慢する
611. obey	(...に)従う
612. engage	従事する
613. bump into	(...に)ぶつかる
614. crash	激突する
615. bend	身をかがめる
616. hug	（人を)抱きしめる
617. stare at	(...を)じっと見つめる
618. gaze at	(...を)見つめる
619. glance	ちらりと見る
620. glimpse	(...が)ちらりと見える
621. stretch	（手足や体を)伸ばす
622. stumble	つまずく
623. press	(...を)押す
624. drag	(...を)引きずる
625. lean against	(...に)寄りかかる
626. scratch	(...を)ひっかく
627. bow	おじぎする
628. nod	うなずく
629. sigh	ため息をつく
630. yawn	あくびをする
631. bury	(...を)埋める
632. perform	(...を)遂行する
633. adopt	(...を)採用する
634. escape from	(...から)逃れる
635. scatter	(...を)まき散らす
636. fold	(...を)折る
637. hang	(...を)掛ける
638. release	(...を)解放する
639. strike	(...を)打つ
640. beat	(...を)打つ
641. protect	(...を)守る
642. twist	(...をねじ）曲げる
643. stir	（液体などを)混ぜる
644. shake	(...を)振る
645. burn	焼ける
646. skip	(...を)さぼる
647. expose	(...を)さらす
648. dip	(...をちょっと）つける
649. polish	(...を)磨く
650. cheat	ごまかす
651. attend	(...に)出席する
652. participate in	(...に)参加する
653. imitate	(...を)まねる
654. exist	存在する
655. arise	生じる
656. occur	生じる
657. generate	（電気、利益などを)生み出す
658. be involved in	（事件などに)巻き込まれる
659. require	(...を)必要とする
660. counterpart	対応する人
661. maintain	(...を)維持する
662. last	（時間的に）続く
663. persist	持続する
664. gain	(...を)増す
665. obtain	（資格、許可、情報などを)得る
666. acquire	(...を)習得する
667. examine	(...を)調査する
668. search A for B	B（物）を求めてA（場所）を捜す
669. reunion	同窓会
670. scholarship	奨学金
671. logic	論理
672. instruction	指示
673. determine	(...を)決める
674. conclude	(...と)結論を下す
675. distinguish	(...を)区別する
676. classify	(...を)分類する
677. estimate	(...を)推定する
678. select	(...を)選ぶ
679. organize	（考えなどを)まとめる
680. recognize	（知り合いなどが)誰だかわかる
681. be supposed to do	(...)することになっている
682. assume	(...と)思い込む
683. care	（否定文で）気にする
684. doubt	(...を)疑う
685. notice	(...に)気が付いている
686. aware	気づいている
687. conscious	意識している
688. be concerned with ...	(...に)関心を持っている
689. regard A as B	AをBとみなす
690. commit oneself to, be committed to	(...に)専念する
691. memorize	(...を)暗記する
692. approve of	(...を)認める
693. forgive	（人、過ちを)許す
694. grant	(...を)認める
695. recall	(...を)思い出す
696. abandon	(...を)捨てる
697. get rid of	（不用品を)処分する
698. eliminate	（不要な人、物、事を)排除する
699. relieve	(...を)取り除く
700. remove	(...を)取り除く(を解雇する)
701. resource	（石油などの）資源
702. conservation	保存(保護)
703. preserve	（自然などを)保護する
704. disaster	災害
705. planet	惑星
706. environment	環境
707. horizon	水平線
708. agriculture	農業
709. crop	作物
710. soil	土
711. weed	雑草
712. drown	溺れ死ぬ
713. leak	漏れる
714. climate	気候
715. atmosphere	大気
716. forecast	予報
717. thermometer	温度計
718. humid	湿気が多い
719. tropical	熱帯の
720. solar	太陽の
721. mosquito	蚊
722. species	種（しゅ）
723. extinct	絶滅した
724. feed	(...)にえさを与える
725. energetic	活発な
726. greedy	貪欲な
727. brave	勇敢な
728. generous	気前のよい
729. intellectual	知的な
730. curious	好奇心が強い
731. imaginative	想像力豊かな
732. talkative	おしゃべりの
733. can afford to do	(...)する余裕がある
734. eager	熱心な
735. selfish	利己的な
736. aggressive	攻撃的な
737. cruel	残酷な
738. addicted	(...)の中毒になっている
739. stubborn	頑固な
740. earnest	真面目な
741. bold	大胆な
742. guilty	申し訳なく思う
743. innocent	無実の
744. sincere	誠実な
745. modest	謙虚な
746. stupid	ばかな
